Year,LSS Number,LSS Name,School Number,School Name,Star Rating,Total Points Earned Percentage,Percentile Rank Elementary,Percentile Rank Middle,Percentile Rank High
2019,1,Allegany,301,Flintstone Elementary,4,73,81,na,na
2019,1,Allegany,401,South Penn Elementary,3,49,14,na,na
2019,1,Allegany,402,John Humbird Elementary,4,64,55,na,na
2019,1,Allegany,405,Fort Hill High,3,56,na,na,39
2019,1,Allegany,406,Washington Middle,3,51,na,41,na
2019,1,Allegany,502,Northeast Elementary,5,76,87,na,na
2019,1,Allegany,504,Braddock Middle,4,62,na,70,na
2019,1,Allegany,601,Center for Career & Technical Education,4,62,na,na,57
2019,1,Allegany,603,West Side Elementary,4,64,54,na,na
2019,1,Allegany,606,Allegany High,4,64,na,na,60
2019,1,Allegany,701,Cresaptown Elementary,5,75,84,na,na
2019,1,Allegany,702,Bel Air Elementary,4,71,74,na,na
2019,1,Allegany,801,Westernport Elementary,4,66,60,na,na
2019,1,Allegany,802,Westmar Middle,3,55,na,54,na
2019,1,Allegany,1001,George's Creek Elementary,4,65,57,na,na
2019,1,Allegany,1101,Frost Elementary,5,81,96,na,na
2019,1,Allegany,1301,Mount Savage Middle,4,65,na,76,na
2019,1,Allegany,1302,Mt. Savage Elementary,5,78,91,na,na
2019,1,Allegany,2404,Mountain Ridge High School,4,62,na,na,53
2019,1,Allegany,2801,Beall Elementary,5,75,84,na,na
2019,1,Allegany,2901,Cash Valley Elementary,5,80,95,na,na
2019,1,Allegany,2902,Parkside Elementary,5,80,94,na,na
2019,2,Anne Arundel,1023,Brooklyn Park Middle,2,44,na,24,na
2019,2,Anne Arundel,1033,Glen Burnie High,3,50,na,na,30
2019,2,Anne Arundel,1043,Corkran Middle School,3,52,na,46,na
2019,2,Anne Arundel,1053,Lindale Middle,3,54,na,49,na
2019,2,Anne Arundel,1063,Marley Middle,3,54,na,51,na
2019,2,Anne Arundel,1082,Belle Grove Elementary,3,51,17,na,na
2019,2,Anne Arundel,1092,Brooklyn Park Elementary,3,57,33,na,na
2019,2,Anne Arundel,1112,George T. Cromwell Elementary,4,62,49,na,na
2019,2,Anne Arundel,1122,Freetown Elementary,3,52,19,na,na
2019,2,Anne Arundel,1132,Glendale Elementary,4,62,48,na,na
2019,2,Anne Arundel,1142,Hilltop Elementary,3,53,22,na,na
2019,2,Anne Arundel,1152,Linthicum Elementary,4,70,73,na,na
2019,2,Anne Arundel,1162,Marley Elementary,3,56,30,na,na
2019,2,Anne Arundel,1172,North Glen Elementary,4,62,47,na,na
2019,2,Anne Arundel,1182,Oakwood Elementary,3,59,37,na,na
2019,2,Anne Arundel,1192,Overlook Elementary,3,56,29,na,na
2019,2,Anne Arundel,1202,Park Elementary,4,64,57,na,na
2019,2,Anne Arundel,1212,Point Pleasant Elementary,3,56,27,na,na
2019,2,Anne Arundel,1232,Quarterfield Elementary,4,62,49,na,na
2019,2,Anne Arundel,1242,Richard Henry Lee Elementary,3,59,36,na,na
2019,2,Anne Arundel,1262,Woodside Elementary,3,54,25,na,na
2019,2,Anne Arundel,1323,North County High,3,55,na,na,37
2019,2,Anne Arundel,2013,Severna Park High,5,82,na,na,96
2019,2,Anne Arundel,2023,Northeast High,4,62,na,na,55
2019,2,Anne Arundel,2033,George Fox Middle,3,50,na,37,na
2019,2,Anne Arundel,2043,Severna Park Middle,5,77,na,96,na
