Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Attend Rate Pct,Days Attended Cnt,Days Member Cnt,Fewer 5 Pct,Fewer 5 Cnt,More 20 Pct,More 20 Cnt,More 90 Member Cnt,Create Date
2011,01,Allegany,0301,Flintstone Elementary,Elementary,>= 95.0,*,*,35.5,61,<= 5.0,*,172,20120820
2011,01,Allegany,0401,South Penn Elementary,Elementary,94.8,41517.5,43773,36.8,133,7.8,28,361,20120820
2011,01,Allegany,0402,John Humbird Elementary,Elementary,94.3,27080.0,28703,28.8,66,11.4,26,229,20120820
2011,01,Allegany,0405,Fort Hill High,High,91.5,100833.5,110258,20.3,183,24.8,223,901,20120820
2011,01,Allegany,0406,Washington Middle,Middle,93.6,72837.0,77849,28.8,183,14.0,89,636,20120820
2011,01,Allegany,0502,Northeast Elementary,Elementary,>= 95.0,*,*,30.5,78,5.5,14,256,20120820
2011,01,Allegany,0504,Braddock Middle,Middle,93.5,65715.5,70321,28.7,165,13.9,80,575,20120820
2011,01,Allegany,0603,West Side Elementary,Elementary,>= 95.0,*,*,30.6,78,<= 5.0,*,255,20120820
2011,01,Allegany,0606,Allegany High,High,93.4,96122.0,102875,27.3,229,10.4,87,839,20120820
2011,01,Allegany,0701,Cresaptown Elementary,Elementary,>= 95.0,*,*,31.3,85,<= 5.0,*,272,20120820
2011,01,Allegany,0702,Bel Air Elementary,Elementary,94.1,19910.5,21152,30.0,51,9.4,16,170,20120820
2011,01,Allegany,0801,Westernport Elementary,Elementary,94.5,21578.0,22832,25.9,51,8.6,17,197,20120820
2011,01,Allegany,0802,Westmar Middle,Middle,94.6,31855.5,33682,26.1,74,12.0,34,284,20120820
2011,01,Allegany,1001,George's Creek Elementary,Elementary,>= 95.0,*,*,35.2,90,5.5,14,256,20120820
2011,01,Allegany,1101,Frost Elementary,Elementary,>= 95.0,*,*,32.7,65,<= 5.0,*,199,20120820
2011,01,Allegany,1301,Mount Savage Middle,Middle,94.7,49499.5,52273,29.5,131,9.2,41,444,20120820
2011,01,Allegany,1302,Mt. Savage Elementary,Elementary,>= 95.0,*,*,35.6,69,5.2,10,194,20120820
2011,01,Allegany,2404,Mountain Ridge High School,High,92.9,103750.5,111692,25.7,242,16.7,157,941,20120820
2011,01,Allegany,2801,Beall Elementary,Elementary,94.9,30513.0,32161,30.7,83,<= 5.0,*,270,20120820
2011,01,Allegany,2901,Cash Valley Elementary,Elementary,94.8,25458.0,26856,29.0,64,8.6,19,221,20120820
2011,01,Allegany,2902,Parkside Elementary,Elementary,94.9,23087.0,24325,29.6,59,6.0,12,199,20120820
2011,01,Allegany,A,All Allegany Schools,Elementary,>= 95.0,*,*,31.4,1023,6.4,209,3260,20120820
2011,01,Allegany,A,All Allegany Schools,Middle,93.9,220080.5,234313,28.3,550,12.9,251,1941,20120820
2011,01,Allegany,A,All Allegany Schools,High,92.6,301472.0,325686,24.2,651,17.7,475,2690,20120820
