Academic Year,LSS Number,LSS Name,School Number,School Name,School Type,Attend Rate Pct,Days Attended Cnt,Days Member Cnt,Fewer 5 Pct,Fewer 5 Cnt,More 20 Pct,More 20 Cnt,More 90 Member Cnt,Chronic Absentee Cnt,Chronic Absentee Denom,Chronic Absentee Pct,Create Date
2019,01,Allegany,0301,Flintstone Elementary,Elementary,>= 95.0,*,*,26.8,49,7.7,14,183,23,220,10.5,20200117
2019,01,Allegany,0401,South Penn Elementary,Elementary,92.7,51810.5,55876,18.2,74,20.1,82,407,147,539,27.3,20200117
2019,01,Allegany,0402,John Humbird Elementary,Elementary,92.7,26813.0,28916,20.2,42,18.8,39,208,65,264,24.6,20200117
2019,01,Allegany,0405,Fort Hill High,High,91.5,89127.5,97454,20.9,146,23.6,165,700,235,746,31.5,20200117
2019,01,Allegany,0406,Washington Middle,Middle,92.4,75004.0,81182,18.6,109,19.6,115,586,179,627,28.5,20200117
2019,01,Allegany,0502,Northeast Elementary,Elementary,94.6,31164.5,32938,24.8,60,7.4,18,242,48,302,15.9,20200117
2019,01,Allegany,0504,Braddock Middle,Middle,93.5,77297.0,82652,25.4,152,15.5,93,599,142,629,22.6,20200117
2019,01,Allegany,0601,Center for Career & Technical Education,High,92.1,27171.0,29510,22.4,48,22.0,47,214,60,222,27.0,20200117
2019,01,Allegany,0603,West Side Elementary,Elementary,94.5,40509.0,42867,28.3,87,7.8,24,307,69,390,17.7,20200117
2019,01,Allegany,0606,Allegany High,High,92.7,91830.0,99091,22.3,159,19.7,141,714,198,744,26.6,20200117
2019,01,Allegany,0701,Cresaptown Elementary,Elementary,94.2,32665.0,34679,31.5,80,8.7,22,254,45,314,14.3,20200117
2019,01,Allegany,0702,Bel Air Elementary,Elementary,94.7,22964.5,24256,32.2,56,10.3,18,174,33,218,15.1,20200117
2019,01,Allegany,0801,Westernport Elementary,Elementary,93.6,25140.5,26855,28.2,55,15.4,30,195,63,259,24.3,20200117
2019,01,Allegany,0802,Westmar Middle,Middle,92.6,34205.5,36921,23.7,65,21.9,60,274,80,284,28.2,20200117
2019,01,Allegany,1001,George's Creek Elementary,Elementary,94.3,28801.0,30541,28.9,65,9.8,22,225,46,278,16.5,20200117
2019,01,Allegany,1101,Frost Elementary,Elementary,>= 95.0,*,*,31.6,59,<= 5.0,*,187,20,206,9.7,20200117
2019,01,Allegany,1301,Mount Savage Middle,Middle,94.3,50456.5,53534,24.5,96,11.0,43,392,63,400,15.8,20200117
2019,01,Allegany,1302,Mt. Savage Elementary,Elementary,>= 95.0,*,*,34.2,51,5.4,8,149,16,174,9.2,20200117
2019,01,Allegany,2404,Mountain Ridge High School,High,91.0,98236.5,107985,18.0,141,24.4,191,784,260,816,31.9,20200117
2019,01,Allegany,2801,Beall Elementary,Elementary,94.4,42476.5,44977,20.4,67,<= 5.0,*,328,47,398,11.8,20200117
2019,01,Allegany,2901,Cash Valley Elementary,Elementary,94.5,23137.5,24487,25.7,45,8.6,15,175,33,231,14.3,20200117
2019,01,Allegany,2902,Parkside Elementary,Elementary,94.4,20399.5,21617,29.5,46,11.5,18,156,30,204,14.7,20200117
2019,01,Allegany,A,All Allegany Schools,Elementary,94.2,413702.5,439117,25.9,827,11.1,355,3197,640,3875,16.5,20200117
2019,01,Allegany,A,All Allegany Schools,Middle,93.2,236963.0,254289,22.7,421,17.0,316,1854,450,1905,23.6,20200117
2019,01,Allegany,A,All Allegany Schools,High,91.7,306365.0,334040,20.5,494,22.7,548,2414,738,2500,29.5,20200117
2019,01,Allegany,A,All Allegany Schools,All Students,93.1,957030.5,1027446,23.3,1742,16.3,1219,7465,1828,8280,22.1,20200117
2019,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,93.9,105066.5,111931,35.5,284,16.0,128,799,175,855,20.5,20200117
2019,02,Anne Arundel,1033,Glen Burnie High,High,89.9,254706.0,283344,26.1,527,29.0,586,2018,765,2153,35.5,20200117
2019,02,Anne Arundel,1043,Corkran Middle School,Middle,93.8,83203.5,88695,30.3,194,13.8,88,640,148,680,21.8,20200117
2019,02,Anne Arundel,1053,Lindale Middle,Middle,92.9,145164.0,156191,25.3,280,18.6,206,1108,304,1199,25.4,20200117
2019,02,Anne Arundel,1063,Marley Middle,Middle,94.0,111554.0,118671,33.6,285,14.4,122,848,184,917,20.1,20200117
2019,02,Anne Arundel,1082,Belle Grove Elementary,Elementary,92.5,27182.0,29401,17.2,36,18.7,39,209,73,285,25.6,20200117
2019,02,Anne Arundel,1092,Brooklyn Park Elementary,Elementary,93.5,42732.0,45704,26.3,86,12.2,40,327,85,423,20.1,20200117
2019,02,Anne Arundel,1112,George T. Cromwell Elementary,Elementary,94.2,42484.5,45121,25.7,84,10.4,34,327,52,341,15.2,20200117
2019,02,Anne Arundel,1122,Freetown Elementary,Elementary,94.4,51141.5,54202,28.5,111,12.3,48,390,92,484,19.0,20200117
2019,02,Anne Arundel,1132,Glendale Elementary,Elementary,94.1,44281.0,47041,26.1,88,12.5,42,337,87,425,20.5,20200117
2019,02,Anne Arundel,1142,Hilltop Elementary,Elementary,94.1,73691.0,78345,23.8,133,11.1,62,560,139,750,18.5,20200117
2019,02,Anne Arundel,1152,Linthicum Elementary,Elementary,>= 95.0,*,*,35.3,141,<= 5.0,*,400,39,500,7.8,20200117
