Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Mobility Pct,Mobility Cnt,Entrants Pct,Entrants Cnt,Withdrawals Pct,Withdrawals Cnt,Avg Daily Member Cnt,Create Date
2015,1,Allegany,301,Flintstone Elementary,Elementary,17.1,37,9.7,21,7.4,16,217,20160624
2015,1,Allegany,401,South Penn Elementary,Elementary,19.2,84,9.2,40,10.1,44,436.7,20160624
2015,1,Allegany,402,John Humbird Elementary,Elementary,34.3,94,18.3,50,16.1,44,273.7,20160624
2015,1,Allegany,405,Fort Hill High,High,15.8,121,8.2,63,7.6,58,765.6,20160624
2015,1,Allegany,406,Washington Middle,Middle,15.7,105,7,47,8.7,58,668.8,20160624
2015,1,Allegany,502,Northeast Elementary,Elementary,16.4,45,6.9,19,9.5,26,274.1,20160624
2015,1,Allegany,504,Braddock Middle,Middle,10.9,62,<= 5.0,*,6.7,38,567.3,20160624
2015,1,Allegany,601,Center for Career & Technical Education,High,9.9,29,<= 5.0,*,8.6,25,291.9,20160624
2015,1,Allegany,603,West Side Elementary,Elementary,24.5,90,12.3,45,12.3,45,367.3,20160624
2015,1,Allegany,606,Allegany High,High,13.6,91,6.9,46,6.7,45,667.4,20160624
2015,1,Allegany,701,Cresaptown Elementary,Elementary,15.4,49,6.3,20,9.1,29,318.6,20160624
2015,1,Allegany,702,Bel Air Elementary,Elementary,16.5,32,9.8,19,6.7,13,194,20160624
2015,1,Allegany,801,Westernport Elementary,Elementary,12.7,30,6.8,16,5.9,14,236.4,20160624
2015,1,Allegany,802,Westmar Middle,Middle,7.8,20,<= 5.0,*,<= 5.0,*,257.2,20160624
2015,1,Allegany,1001,George's Creek Elementary,Elementary,10.5,30,7.4,21,<= 5.0,*,285.7,20160624
2015,1,Allegany,1101,Frost Elementary,Elementary,7.5,17,<= 5.0,*,<= 5.0,*,227.4,20160624
2015,1,Allegany,1301,Mount Savage Middle,Middle,8.3,32,<= 5.0,*,<= 5.0,*,384.7,20160624
2015,1,Allegany,1302,Mt. Savage Elementary,Elementary,17.6,33,9.6,18,8,15,187.2,20160624
2015,1,Allegany,2404,Mountain Ridge High School,High,7.4,63,<= 5.0,*,<= 5.0,*,854.1,20160624
2015,1,Allegany,2801,Beall Elementary,Elementary,14.9,56,6.9,26,8,30,376.9,20160624
2015,1,Allegany,2901,Cash Valley Elementary,Elementary,17.5,46,7.6,20,9.9,26,262.8,20160624
2015,1,Allegany,2902,Parkside Elementary,Elementary,23.1,50,10.2,22,12.9,28,216.3,20160624
2015,1,Allegany,A,All Allegany Schools,Elementary,17.9,693,8.9,346,9,347,3873.9,20160624
2015,1,Allegany,A,All Allegany Schools,Middle,11.7,219,5.1,95,6.6,124,1877.9,20160624
2015,1,Allegany,A,All Allegany Schools,High,11.8,304,5.4,138,6.4,166,2579,20160624
2015,2,Anne Arundel,1023,Brooklyn Park Middle,Middle,18.7,136,7.9,57,10.9,79,725.8,20160624
2015,2,Anne Arundel,1033,Glen Burnie High,High,18.7,355,9.1,172,9.6,183,1900.3,20160624
2015,2,Anne Arundel,1043,Corkran Middle School,Middle,17.8,106,11.8,70,6,36,595.1,20160624
2015,2,Anne Arundel,1053,Lindale Middle,Middle,19,170,9.5,85,9.5,85,893.3,20160624
2015,2,Anne Arundel,1063,Marley Middle,Middle,21.6,166,13.2,102,8.3,64,769.8,20160624
2015,2,Anne Arundel,1082,Belle Grove Elementary,Elementary,31.2,74,18.2,43,13.1,31,236.8,20160624
2015,2,Anne Arundel,1092,Brooklyn Park Elementary,Elementary,17.7,65,9.3,34,8.4,31,367.4,20160624
2015,2,Anne Arundel,1112,George T. Cromwell Elementary,Elementary,12.9,40,6.8,21,6.1,19,309.4,20160624
2015,2,Anne Arundel,1122,Freetown Elementary,Elementary,24,99,12.8,53,11.1,46,413.3,20160624
2015,2,Anne Arundel,1132,Glendale Elementary,Elementary,18.7,71,11.3,43,7.4,28,380,20160624
2015,2,Anne Arundel,1142,Hilltop Elementary,Elementary,26.6,168,13.6,86,13,82,632,20160624
2015,2,Anne Arundel,1152,Linthicum Elementary,Elementary,15.5,73,6.8,32,8.7,41,471.1,20160624
2015,2,Anne Arundel,1162,Marley Elementary,Elementary,31,208,17,114,14,94,670.5,20160624
2015,2,Anne Arundel,1172,North Glen Elementary,Elementary,26.7,61,15.7,36,10.9,25,228.6,20160624
2015,2,Anne Arundel,1182,Oakwood Elementary,Elementary,13.1,34,6.9,18,6.1,16,260.5,20160624
2015,2,Anne Arundel,1192,Overlook Elementary,Elementary,21.2,62,14.4,42,6.9,20,291.9,20160624
2015,2,Anne Arundel,1202,Park Elementary,Elementary,23.5,100,11.5,49,12,51,426.4,20160624
