Academic Year,LSS Number,LSS Name,School Number,School Name,School Type,Mobility Rate,Mobility Count,Entrants Rate,Entrants Count,Withdrawals Rate,Withdrawals Count,Avg Daily Member Count,Create Date
2019,1,Allegany,301,Flintstone Elementary,Elementary,7.9,17,<= 5.0,*,<= 5.0,*,214.4,20200117
2019,1,Allegany,401,South Penn Elementary,Elementary,17.8,89,11.4,57,6.4,32,500.4,20200117
2019,1,Allegany,402,John Humbird Elementary,Elementary,22.9,56,11.4,28,11.4,28,244.6,20200117
2019,1,Allegany,405,Fort Hill High,High,22.4,157,8.7,61,13.7,96,701.6,20200117
2019,1,Allegany,406,Washington Middle,Middle,19.6,115,8.2,48,11.4,67,586.7,20200117
2019,1,Allegany,502,Northeast Elementary,Elementary,13,37,6.3,18,6.7,19,283.8,20200117
2019,1,Allegany,504,Braddock Middle,Middle,14.9,89,6,36,8.9,53,596.7,20200117
2019,1,Allegany,601,Center for Career & Technical Education,High,8.4,18,<= 5.0,*,7,15,213.5,20200117
2019,1,Allegany,603,West Side Elementary,Elementary,15.2,56,7.1,26,8.2,30,367.6,20200117
2019,1,Allegany,606,Allegany High,High,10.9,78,<= 5.0,*,6.3,45,715.3,20200117
2019,1,Allegany,701,Cresaptown Elementary,Elementary,13.1,39,7.7,23,5.4,16,296.8,20200117
2019,1,Allegany,702,Bel Air Elementary,Elementary,9.1,19,<= 5.0,*,5.8,12,207.9,20200117
2019,1,Allegany,801,Westernport Elementary,Elementary,24.4,57,12,28,12.4,29,233.9,20200117
2019,1,Allegany,802,Westmar Middle,Middle,10.2,28,5.1,14,5.1,14,273.2,20200117
2019,1,Allegany,1001,George's Creek Elementary,Elementary,11.3,30,6.4,17,<= 5.0,*,266.3,20200117
2019,1,Allegany,1101,Frost Elementary,Elementary,6.4,13,<= 5.0,*,<= 5.0,*,202.1,20200117
2019,1,Allegany,1301,Mount Savage Middle,Middle,6.7,26,<= 5.0,*,<= 5.0,*,390.8,20200117
